"data_lat","data_lon","data_street","data_city","data_country"
"51.5264151","0.0066865","38-48, Valerian Way","London","United Kingdom"
"40.7794396","-73.96338248033601","1000, 5th Avenue","New York","United States"
"-33.85719805","151.21512338473752","2, Macquarie Street","Sydney","Australia"
"-33.44297295","-70.66765140256382","189, Avenida Ricardo Cumming","Santiago","Chile"
"55.704081","37.504991326371766","5, улица Столетова","Москва","Россия"
"0.0","0.0","Soul Buoy",,
"50.0948311","20.068111616472365","Fort 49¼ ""Grębałów""","Kraków","Polska"
-1,-1,,,
"48.861/1","2.338",,,
"48.8611","2.33/8",,,
" "," ",,,
1E-10,1E-10,,,
,,,,
"2^6","2.338",,,
"' OR '1'='1'","2.338",,,
"1,2","1,2",,,
